THERMO                                                                          
   300.000  1500.000  5000.000                                                  
 2.18631465E-08-2.51371003E-12-4.53702010E+04 5.67490252E+01                   4
qo_16             0529  c   9h  18o   1    0G   300.000  5000.000 1392.000     1
 2.73617973E+01 4.58135821E-02-1.56823929E-05 2.43613621E-09-1.41398460E-13    2
-5.68172146E+04-1.29505904E+02-6.71686249E+00 1.20447458E-01-7.67184590E-05    3
 2.45958584E-08-3.15473084E-12-4.44615113E+04 5.53208499E+01                   4
qo_23             0529  c   9h  18o   1    0G   300.000  5000.000 1391.000     1
 2.79381422E+01 4.52259410E-02-1.54570541E-05 2.39853081E-09-1.39108053E-13    2
-4.84416377E+04-1.26118720E+02-3.58801246E+00 1.12539820E-01-6.84005345E-05    3
 2.05154312E-08-2.39037415E-12-3.68248485E+04 4.55003163E+01                   4
qo_24             0529  c   9h  18o   1    0G   300.000  5000.000 1393.000     1
 2.79188426E+01 4.52207089E-02-1.54504304E-05 2.39699299E-09-1.38998074E-13    2
-5.05434795E+04-1.27772169E+02-5.15582252E+00 1.17987081E-01-7.53389117E-05    3
 2.43234179E-08-3.15248083E-12-3.85886665E+04 5.14848139E+01                   4
qo_25             0529  c   9h  18o   1    0G   300.000  5000.000 1394.000     1
 2.76545164E+01 4.54363437E-02-1.55230755E-05 2.40816919E-09-1.39642789E-13    2
-5.92041475E+04-1.28080490E+02-5.94401031E+00 1.19769974E-01-7.72038472E-05    3
 2.52522897E-08-3.32901801E-12-4.71046500E+04 5.38632911E+01                   4
qo_26             0529  c   9h  18o   1    0G   300.000  5000.000 1393.000     1
 2.78230674E+01 4.52644031E-02-1.54575630E-05 2.39730978E-09-1.38985228E-13    2
-6.00711492E+04-1.31941067E+02-6.42224875E+00 1.22883074E-01-8.23829555E-05    3
 2.86057119E-08-4.08420218E-12-4.79064399E+04 5.28775917E+01                   4
qo_34             0529  c   9h  18o   1    0G   300.000  5000.000 1392.000     1
 2.78051976E+01 4.53144987E-02-1.54821059E-05 2.40186076E-09-1.39278215E-13    2
-4.74140937E+04-1.25822009E+02-4.09524293E+00 1.13653306E-01-6.93755520E-05    3
 2.08610879E-08-2.42685969E-12-3.56985524E+04 4.77262589E+01                   4
qo_35             0529  c   9h  18o   1    0G   300.000  5000.000 1393.000     1
 2.76740170E+01 4.54460309E-02-1.55324009E-05 2.41026217E-09-1.39790894E-13    2
-4.91284347E+04-1.27046310E+02-5.41588570E+00 1.17305335E-01-7.33644232E-05    3
 2.28308450E-08-2.79236820E-12-3.70863325E+04 5.26063538E+01                   4
c9h18_1           0529  c   9h  18    0    0G   300.000  5000.000 1390.000     1
 2.55725931E+01 4.46468306E-02-1.52473001E-05 2.36466218E-09-1.37087608E-13    2
-2.97872999E+04-1.14011685E+02-3.89080774E+00 1.06429963E-01-6.25630932E-05    3
 1.79132389E-08-1.94636040E-12-1.87944980E+04 4.68168783E+01                   4
c9h18_2           0529  c   9h  18    0    0G   300.000  5000.000 1389.000     1
 2.55587901E+01 4.46611715E-02-1.52526801E-05 2.36553520E-09-1.37139407E-13    2
-3.04219576E+04-1.12963361E+02-2.87648647E+00 1.02790142E-01-5.78270034E-05    3
 1.52564315E-08-1.40295665E-12-1.96564374E+04 4.27953857E+01                   4
c9h18_3           0529  c   9h  18    0    0G   300.000  5000.000 1391.000     1
 2.56011328E+01 4.45804228E-02-1.52144760E-05 2.35845918E-09-1.36681289E-13    2
-3.03898106E+04-1.13755450E+02-3.13094892E+00 1.04130708E-01-5.98384959E-05    3
 1.64324023E-08-1.64292667E-12-1.96044618E+04 4.33210839E+01                   4
c8h16-6-2         0529  c   8h  16    0    0G   300.000  5000.000 1392.000     1
 2.25185417E+01 3.96246532E-02-1.35200007E-05 2.09548610E-09-1.21429466E-13    2
-2.37688219E+04-9.74851848E+01-3.67979984E+00 9.46361534E-02-5.56050817E-05    3
 1.58378706E-08-1.69208833E-12-1.40172773E+04 4.54676189E+01                   4
c8h16-5-2         0529  c   8h  16    0    0G   300.000  5000.000 1391.000     1
 2.25237406E+01 3.96531044E-02-1.35366813E-05 2.09877285E-09-1.21647473E-13    2
-2.49670043E+04-9.68723611E+01-2.68855211E+00 9.11851059E-02-5.11605904E-05    3
 1.33725951E-08-1.19361446E-12-1.54321071E+04 4.12156036E+01                   4
dc6h12            0529  c   6h  12    0    0G   300.000  5000.000 1391.000     1
 1.67480256E+01 2.93752718E-02-1.00128573E-05 1.55083256E-09-8.98233699E-14    2
-1.55908853E+04-6.70242616E+01-2.22555561E+00 6.94637587E-02-4.11722715E-05    3
 1.20751320E-08-1.37865861E-12-8.53529124E+03 3.64486106E+01                   4
ch3coch3          0529  c   3h   6o   1    0G   300.000  5000.000 1389.000     1
 1.00021932E+01 1.49745651E-02-5.09878156E-06 7.89123048E-10-4.56804940E-14    2
