THERMO                                                                          
   300.000  1500.000  5000.000                                                  
C15H32    10/ 9/14 THERMC  15H  32    0    0G   300.000  5000.000 1393.000   141
-5.54118091E+04-2.13575128E+02-4.29834220E+00 1.83069810E-01-1.24468380E-04    3
 4.42709983E-08-6.53540851E-12-3.74002005E+04 6.03865754E+01                   4
C15H30_62 10/ 9/14 THERMC  15H  30    0    0G   300.000  5000.000 1393.000   131
 4.69787387E+01 6.66482649E-02-2.28054686E-05 3.54155039E-09-2.05508876E-13    2
-5.40682357E+04-2.16885911E+02-4.81151108E+00 1.86493666E-01-1.29512751E-04    3
 4.72004057E-08-7.13901734E-12-3.58806988E+04 6.18096841E+01                   4
C15H30_7  10/ 9/14 THERMC  15H  30    0    0G   300.000  5000.000 1394.000   131
 4.64769439E+01 6.72408613E-02-2.30451239E-05 3.58250555E-09-2.08033230E-13    2
-5.47200313E+04-2.14060779E+02-5.78730356E+00 1.88319018E-01-1.31108516E-04    3
 4.79585086E-08-7.28798807E-12-3.63678393E+04 6.71563845E+01                   4
C15H30_8  10/ 9/14 THERMC  15H  30    0    0G   300.000  5000.000 1394.000   131
 4.64769439E+01 6.72408613E-02-2.30451239E-05 3.58250555E-09-2.08033230E-13    2
-5.47200313E+04-2.14060779E+02-5.78730356E+00 1.88319018E-01-1.31108516E-04    3
 4.79585086E-08-7.28798807E-12-3.63678393E+04 6.71563845E+01                   4
C15H30_9  10/ 9/14 THERMC  15H  30    0    0G   300.000  5000.000 1393.000   131
 4.65045364E+01 6.70752169E-02-2.29579113E-05 3.56586864E-09-2.06945541E-13    2
-5.54118091E+04-2.13575128E+02-4.29834220E+00 1.83069810E-01-1.24468380E-04    3
 4.42709983E-08-6.53540851E-12-3.74002005E+04 6.03865754E+01                   4
C15H30_10 10/ 9/14 THERMC  15H  30    0    0G   300.000  5000.000 1392.000   131
 4.64126719E+01 6.70559685E-02-2.29304943E-05 3.55948297E-09-2.06490297E-13    2
-5.54244535E+04-2.13135694E+02-3.43010186E+00 1.79478599E-01-1.19557377E-04    3
 4.13923899E-08-5.92308082E-12-3.76229931E+04 5.61251121E+01                   4
C15H30102 10/ 9/14 THERMC  15H  30    0    0G   300.000  5000.000 1393.000   131
 4.69787387E+01 6.66482649E-02-2.28054686E-05 3.54155039E-09-2.05508876E-13    2
-5.40682357E+04-2.16885911E+02-4.81151108E+00 1.86493666E-01-1.29512751E-04    3
 4.72004057E-08-7.13901734E-12-3.58806988E+04 6.18096841E+01                   4
C15H30_11 10/ 9/14 THERMC  15H  30    0    0G   300.000  5000.000 1394.000   131
 4.68551752E+01 6.67994045E-02-2.28670939E-05 3.55210108E-09-2.06159132E-13    2
-5.33855022E+04-2.16902932E+02-5.33892387E+00 1.87783196E-01-1.30737531E-04    3
 4.77183366E-08-7.21879673E-12-3.50864824E+04 6.38762899E+01                   4
C15H30_1  10/ 9/14 THERMC  15H  30    0    0G   300.000  5000.000 1393.000   131
 4.68851272E+01 6.66304742E-02-2.27785505E-05 3.53524227E-09-2.05058138E-13    2
-5.40801385E+04-2.15334056E+02-3.93576788E+00 1.82867871E-01-1.24552026E-04    3
 4.42921186E-08-6.52033669E-12-3.61045749E+04 5.86159877E+01                   4
C15H29    10/ 9/14 THERMC  15H  29    0    0G   300.000  5000.000 1391.000   131
 4.67690525E+01 6.47953768E-02-2.22805038E-05 3.47148466E-09-2.01909332E-13    2
-3.71892520E+04-2.16207674E+02-3.92406087E+00 1.79668513E-01-1.21768591E-04    3
 4.28571373E-08-6.23909142E-12-1.91281650E+04 5.74741181E+01                   4
C15H32O_1 10/ 9/14 THERMC  15H  32O   1    0G   300.000  5000.000 1394.000   151
 4.97759790E+01 7.08750072E-02-2.42218819E-05 3.75838345E-09-2.17964377E-13    2
-8.80889982E+04-2.28104620E+02-4.47126053E+00 1.95755365E-01-1.34526970E-04    3
 4.84071767E-08-7.21833973E-12-6.89839538E+04 6.40256325E+01                   4
C15H31O_1 10/ 9/14 THERMC  15H  31O   1    0G   300.000  5000.000 1393.000   141
 4.97004985E+01 6.90012992E-02-2.36169104E-05 3.66828508E-09-2.12894388E-13    2
-6.17996686E+04-2.27804078E+02-4.38408993E+00 1.93580907E-01-1.33654228E-04    3
 4.81742979E-08-7.18054783E-12-4.27705893E+04 6.34057003E+01                   4
C15H32O_2 10/ 9/14 THERMC  15H  32O   1    0G   300.000  5000.000 1394.000   151
 5.04222157E+01 7.04249384E-02-2.40872467E-05 3.73941702E-09-2.16939875E-13    2
-9.16416635E+04-2.33122184E+02-4.51264051E+00 1.99188986E-01-1.40853406E-04    3
 5.26168475E-08-8.17765027E-12-7.24984473E+04 6.19385161E+01                   4
C15H31O_2 10/ 9/14 THERMC  15H  31O   1    0G   300.000  5000.000 1394.000   141
 5.03490801E+01 6.85465915E-02-2.34801561E-05 3.64893893E-09-2.11845954E-13    2
-6.53530856E+04-2.32829241E+02-4.42228987E+00 1.96999674E-01-1.39957409E-04    3
 5.23682116E-08-8.13612570E-12-4.62855467E+04 6.13090250E+01                   4
C15H32O_3 10/ 9/14 THERMC  15H  32O   1    0G   300.000  5000.000 1395.000   151
 5.01880709E+01 7.07312449E-02-2.42151093E-05 3.76156477E-09-2.18314217E-13    2
-9.03785775E+04-2.31368413E+02-4.65014156E+00 1.98765595E-01-1.39649704E-04    3
 5.17203126E-08-7.96199915E-12-7.12246485E+04 6.33406696E+01                   4
C15H31O_3 10/ 9/14 THERMC  15H  31O   1    0G   300.000  5000.000 1395.000   141
 5.01169694E+01 6.88498273E-02-2.36067402E-05 3.67087022E-09-2.13207191E-13    2
-6.40910375E+04-2.31087193E+02-4.54919532E+00 1.96526135E-01-1.38675745E-04    3
 5.14221176E-08-7.90941138E-12-4.50132742E+04 6.26627115E+01                   4
C15H32O_4 10/ 9/14 THERMC  15H  32O   1    0G   300.000  5000.000 1395.000   151
 5.01880709E+01 7.07312449E-02-2.42151093E-05 3.76156477E-09-2.18314217E-13    2
-9.03785775E+04-2.31368413E+02-4.65014156E+00 1.98765595E-01-1.39649704E-04    3
 5.17203126E-08-7.96199915E-12-7.12246485E+04 6.33406696E+01                   4
C15H31O_4 10/ 9/14 THERMC  15H  31O   1    0G   300.000  5000.000 1395.000   141
 5.01169694E+01 6.88498273E-02-2.36067402E-05 3.67087022E-09-2.13207191E-13    2
-6.40910375E+04-2.31087193E+02-4.54919532E+00 1.96526135E-01-1.38675745E-04    3
 5.14221176E-08-7.90941138E-12-4.50132742E+04 6.26627115E+01                   4
C15H32O_5 10/ 9/14 THERMC  15H  32O   1    0G   300.000  5000.000 1395.000   151
 5.01880709E+01 7.07312449E-02-2.42151093E-05 3.76156477E-09-2.18314217E-13    2
-9.03785775E+04-2.31368413E+02-4.65014156E+00 1.98765595E-01-1.39649704E-04    3
 5.17203126E-08-7.96199915E-12-7.12246485E+04 6.33406696E+01                   4
C15H31O_5 10/ 9/14 THERMC  15H  31O   1    0G   300.000  5000.000 1395.000   141
 5.01169694E+01 6.88498273E-02-2.36067402E-05 3.67087022E-09-2.13207191E-13    2
-6.40910375E+04-2.31087193E+02-4.54919532E+00 1.96526135E-01-1.38675745E-04    3
 5.14221176E-08-7.90941138E-12-4.50132742E+04 6.26627115E+01                   4
C15H32O_6 10/ 9/14 THERMC  15H  32O   1    0G   300.000  5000.000 1394.000   151
 5.04222157E+01 7.04249384E-02-2.40872467E-05 3.73941702E-09-2.16939875E-13    2
-9.16416635E+04-2.33122184E+02-4.51264051E+00 1.99188986E-01-1.40853406E-04    3
 5.26168475E-08-8.17765027E-12-7.24984473E+04 6.19385161E+01                   4
C15H31O_1 10/ 9/14 THERMC  15H  31O   1    0G   300.000  5000.000 1394.000   141
 5.03490801E+01 6.85465915E-02-2.34801561E-05 3.64893893E-09-2.11845954E-13    2
-6.53530856E+04-2.32829241E+02-4.42228987E+00 1.96999674E-01-1.39957409E-04    3
 5.23682116E-08-8.13612570E-12-4.62855467E+04 6.13090250E+01                   4
C15H32O_7 10/ 9/14 THERMC  15H  32O   1    0G   300.000  5000.000 1394.000   151
 4.97759790E+01 7.08750072E-02-2.42218819E-05 3.75838345E-09-2.17964377E-13    2
-8.80889982E+04-2.28104620E+02-4.47126053E+00 1.95755365E-01-1.34526970E-04    3
 4.84071767E-08-7.21833973E-12-6.89839538E+04 6.40256325E+01                   4
C15H31O_7 10/ 9/14 THERMC  15H  31O   1    0G   300.000  5000.000 1393.000   141
 4.97004985E+01 6.90012992E-02-2.36169104E-05 3.66828508E-09-2.12894388E-13    2
-6.17996686E+04-2.27804078E+02-4.38408993E+00 1.93580907E-01-1.33654228E-04    3
 4.81742979E-08-7.18054783E-12-4.27705893E+04 6.34057003E+01                   4
C15H32O_8 10/ 9/14 THERMC  15H  32O   1    0G   300.000  5000.000 1395.000   151
 5.01880709E+01 7.07312449E-02-2.42151093E-05 3.76156477E-09-2.18314217E-13    2
-9.03785775E+04-2.31368413E+02-4.65014156E+00 1.98765595E-01-1.39649704E-04    3
 5.17203126E-08-7.96199915E-12-7.12246485E+04 6.33406696E+01                   4
C15H31O_8 10/ 9/14 THERMC  15H  31O   1    0G   300.000  5000.000 1395.000   141
 5.01169694E+01 6.88498273E-02-2.36067402E-05 3.67087022E-09-2.13207191E-13    2
-6.40910375E+04-2.31087193E+02-4.54919532E+00 1.96526135E-01-1.38675745E-04    3
 5.14221176E-08-7.90941138E-12-4.50132742E+04 6.26627115E+01                   4
C15H32O_9 10/ 9/14 THERMC  15H  32O   1    0G   300.000  5000.000 1395.000   151
 5.01880709E+01 7.07312449E-02-2.42151093E-05 3.76156477E-09-2.18314217E-13    2
-9.03785775E+04-2.31368413E+02-4.65014156E+00 1.98765595E-01-1.39649704E-04    3
 5.17203126E-08-7.96199915E-12-7.12246485E+04 6.33406696E+01                   4
C15H31O_9 10/ 9/14 THERMC  15H  31O   1    0G   300.000  5000.000 1395.000   141
 5.01169694E+01 6.88498273E-02-2.36067402E-05 3.67087022E-09-2.13207191E-13    2
-6.40910375E+04-2.31087193E+02-4.54919532E+00 1.96526135E-01-1.38675745E-04    3
 5.14221176E-08-7.90941138E-12-4.50132742E+04 6.26627115E+01                   4
C15H32O10 10/ 9/14 THERMC  15H  32O   1    0G   300.000  5000.000 1395.000   151
